epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18112,1.7917,3.78535,2.67533,0.00333,1,0.04738,0.02914,0.57508,3.17417,1.54096,0,0,0
2,2.3471,2.20737,3.64152,3.31311,0.00333,1,0.05528,0.02843,0.56666,3.19976,1.53748,1.802e-05,1.802e-05,1.802e-05
3,3.39564,1.95066,3.69466,2.48111,0.00333,1,0.07107,0.04975,0.50954,3.1946,1.4791,3.208e-05,3.208e-05,3.208e-05
4,4.51042,1.69164,3.28296,2.47422,0.00333,1,0.07107,0.04975,0.45664,3.19602,1.43919,4.218e-05,4.218e-05,4.218e-05
5,5.55489,1.66925,3.57998,2.73256,0.00333,1,0.07654,0.05358,0.39,3.17789,1.43741,4.832e-05,4.832e-05,4.832e-05
6,6.60905,1.5555,3.82258,2.71482,0.00333,1,0.199,0.08955,0.34762,3.14833,1.36694,5.05e-05,5.05e-05,5.05e-05
7,7.65476,1.21998,3.05439,2.28794,0.00333,1,0.199,0.11442,0.3028,3.14417,1.38675,4.872e-05,4.872e-05,4.872e-05
8,8.71304,1.27231,3.13064,2.0352,0.00333,1,0.24875,0.17412,0.32273,3.12922,1.48142,4.298e-05,4.298e-05,4.298e-05
9,9.87786,1.06323,3.38479,2.23406,0.00333,1,0.33167,0.25704,0.35469,3.0998,1.51027,3.328e-05,3.328e-05,3.328e-05
10,11.0022,0.9686,3.10594,1.73951,0.00333,1,0.4975,0.44775,0.37159,3.10223,1.57727,1.962e-05,1.962e-05,1.962e-05
